nameOrig,nameDest
C616660992,C1294974208
C952245558,C2101227966
C809250680,C1857355441
C823748811,C154779867
C1694118500,C296915463
C741679722,C679036705
C206444053,C966253726
C740401471,C665264862
C175982777,C1350353990
C633196976,C448759580
C1218961679,C1289019100
C284790318,C1833023866
C85780149,C823592993
C391224408,C1543149839
C1322924274,C2073562479
C1410333371,C1077937015
C934026062,C1072558316
C208488302,C2123559330
C1477651950,C1763122202
C1240278025,C307838402
C1892839825,C1458801714
C375529170,C1026516769
C1474244013,C873332125
C1999799859,C1447429114
C344928189,C942614338
C312289136,C1119895357
C1197632627,C736141903
C549647828,C13373079
C621670435,C170473927
C157915800,C1465668870
C545417017,C625216036
C2061619874,C1788494867
C1947800703,C1210424090
C1002076506,C396467885
C2005940348,C1907581277
C893904286,C1341690165
C80393681,C636395608
C154969832,C1669414115
C93841658,C352033490
C733954163,C1019630899
C2117887763,C61990291
C223356497,C425566657
C934993721,C1221780010
C1725410661,C44409490
C2077121107,C1814437192
C2007013845,C1909336092
C377668367,C643707048
C1306916927,C1899873555
C1156595474,C340833561
C938309736,C1687997828
C930565921,C1824750826
C1437695472,C1892536154
C285004027,C1524982846
C1276036276,C1282159124
C1091408979,C1110820621
C529346431,C1160911999
C1761632125,C1998471983
C1402015117,C1173080709
C2123605152,C1379057817
C135502554,C775514090
C1661191954,C2075025954
C845658069,C151586448
C222511822,C756326561
C1229688242,C1926005973
C180784284,C1525147099
C284375412,C1553919781
C862998855,C2064260876
C963635632,C1289200443
C410524714,C1416975765
C1168452598,C430658600
C633847978,C337069625
C1018112178,C1672442904
C1468469842,C1753049934
C793527852,C910041946
C465625798,C204850217
C1057975418,C864888723
C904059459,C1237495348
C581609779,C224105862
C280460099,C1478799121
C747042147,C310235538
C1294019179,C63457750
C1125545468,C1693214292
C618333968,C830994571
C161250720,C314194629
C851249845,C2109638287
C1459301109,C1248513597
C10974087,C1896366978
C1224421015,C1576437211
C1278638359,C938229899
C2012155626,C190072343
C1426777597,C837626196
C1122672097,C918968605
C2072156219,C1791197437
C532026613,C288399175
C1441195697,C451509170
C186005646,C377707894
C1169703098,C1431335401
C1999712455,C580075311
C1034317522,C524099706
C131003296,C1620165471
C16043635,C1665144422
C2117956002,C161038819
C1893945417,C2093278117
C4259334,C1815988595
C643907371,C788738425
C860154404,C1322406316
C1498383645,C1824469353
C1584980220,C1476468211
C1326443434,C497153622
C2036357657,C997055633
C41399144,C173251907
C2118047232,C393774084
C1314660566,C895004356
C899095446,C839992034
C172233407,C817515731
C46291745,C2073981169
C767000895,C1332748129
C552694964,C1905178709
C176839679,C1436219727
C436277980,C903903250
C196003546,C542759335
C550590415,C883664835
C2027730313,C2099937867
C1792659388,C607521291
C398216235,C1271328334
C76815222,C1503707423
C1843068021,C1401857501
C2038242249,C1642622925
C138257465,C2132185665
C338158794,C41711890
C18833478,C2073139261
C1700114087,C281323089
C703181144,C1019010343
C37949723,C140829831
C2015648837,C1389272312
C1216113323,C767147428
C747962585,C685972741
C352380010,C1376729047
C487272998,C357034512
C32889144,C1100221992
C2014797017,C2095591931
C1430370920,C1479038082
C604995219,C843702254
C874994705,C583752856
C597564025,C614159579
C1824716181,C1453721560
C1718257667,C324945456
C289985413,C1833720183
C1504278007,C831061707
C2100839065,C499614887
C1919190460,C1442915205
C1106995076,C205291316
C202399229,C492841836
C568236612,C759791194
C2000794278,C1500932342
C1838951565,C370491548
C1668119414,C1230899796
C917819877,C1558389453
C1285194007,C721614400
C1080960077,C668875893
C1213219325,C1581689547
C1492880107,C1688036754
C1081162458,C197063717
C905831792,C829005965
C44904564,C1376455477
C301939501,C1073550489
C1770514994,C496694277
C868673757,C1103118668
C1476612161,C149138093
C818757183,C1174177511
C2033300273,C771799610
C1302403322,C1293856577
C1328071651,C1259371131
C2061241585,C558432551
C1058860326,C1780484526
C1911588841,C1454845793
C88261231,C1864235560
C1835992266,C1015242949
C893559196,C775810325
C1090037522,C1680327614
C1396327640,C1224480428
C1181106977,C1075005344
C1711821872,C1106895535
C1666039764,C2135533916
C1649421281,C569299773
C383456193,C1437236798
C852917502,C1989649279
C1013700207,C737002286
C1602747680,C2069616365
C294434826,C968551528
C272373577,C1298177219
C640662110,C1416050672
C902463929,C1043768713
C1846446618,C1144431615
C2062162795,C2134574007
C686399503,C537657687
C1727525435,C213326058
C1822987991,C1212517029
C592830555,C1538081287
C307182609,C769636797
C1635045319,C1160674470
C1407968097,C590280259
C1455616228,C1251618555
C587260633,C598258229
C2110252031,C475421322
C1448646543,C168670669
C823468026,C1632225461
C1948881663,C2084644768
C997549730,C2064481337
C308777186,C2107746501
C583489928,C1223377894
C557459881,C679176470
C2123155809,C934807886
C1589372410,C1462911936
C1960441658,C15999914
C1600617519,C1925798581
C1040204511,C482370726
C474798944,C1096926348
C580880054,C619267364
C2014682829,C1234683228
C44466,C1638979623
C1532737674,C107402860
C2131229707,C1486465053
C1206623174,C320204719
C985517804,C14810012
C831001112,C4652549
C1044856585,C738518715
C1040145971,C1180066646
C2103889567,C2138333290
C1239216048,C1202769194
C1007748918,C1901777116
C2077808705,C2115603376
C805434259,C939229308
C512633676,C1354201567
C714254108,C1521688510
C389380319,C1032143722
C672632001,C325433581
C1194067652,C1997545902
C2025448314,C90279292
C1157013298,C978345787
C1186660368,C2121428872
C1554401395,C1389164573
C1712207924,C1461200470
C888326738,C1115540550
C1296408028,C1598252879
C885277208,C152582143
C24032126,C409241809
C166267711,C784132801
C684853377,C525293033
C598982916,C1836351671
C480429686,C1559559231
C1865567438,C877034171
C1556746989,C894313437
C188429483,C2103914190
C518028795,C920617693
C1437785704,C2046196151
C161483202,C983116118
C2115395603,C1105834151
C1180900258,C1329996187
C974469784,C1007568570
C863160833,C1284981915
C2116629124,C1436916384
C541694184,C106328216
C857450371,C941421
C370954531,C981107568
C555150454,C152448755
C1307885156,C1556331615
C599601126,C1810626886
C1465710587,C588006997
C1103090746,C748143522
C693130743,C77737777
C1666747684,C367499740
C1393253787,C1343222917
C1520075376,C982774636
C217270683,C57950864
C1447453878,C503806094
C1541354309,C1690464186
C806606018,C387831865
C1121773872,C1336265170
C231614445,C1747450385
C388022681,C1108864090
C1761824563,C543587460
C721526997,C1445995349
C1730332016,C63369463
C1519573139,C1703047789
C1636456715,C220485878
C55057383,C1361821412
C1781389344,C180861867
C1102066784,C47393462
C1925283676,C920011586
C823510464,C548802952
C897447706,C1891798595
C1974388449,C572638492
C216820887,C1534013693
C323523343,C1957927892
C1238852443,C979167187
C1246571854,C360661131
C631924804,C1190185694
C1923958549,C1285172685
C1195936,C1987522237
C597050801,C2143868099
C1435038159,C1995113499
C1292206468,C1805602172
C1551587515,C844819301
C1305556296,C1297578458
C373708149,C1793782490
C1551068315,C1638586368
C1515678788,C1653573116
C1306474113,C488530502
C1959198830,C88722956
C1251865404,C702098145
C302701404,C1359377176
C1955874025,C808152153
C1530900065,C2132993392
C99048465,C828925179
C338358967,C686246094
C687049060,C285511723
C244938429,C1211778520
C187738630,C2140713706
C1225540343,C1146197766
C980874158,C159504975
C2118126559,C1653159688
C1644413736,C847676330
C1654355057,C1742000741
C650846855,C1710580844
C1965736215,C730031715
C1309386092,C877019158
C125971503,C1630413981
C2015557954,C1484221231
C1537457448,C30217657
C1217418229,C227545037
C1592126876,C551826096
C836958187,C1902322858
C2012104194,C450578416
C1026276593,C371547224
C1280520133,C1443420776
C1781060619,C549892714
C1878216986,C1934290810
C266314785,C206943318
C1512546072,C872251501
C1988333787,C1999225524
C595260190,C1446228673
C46080515,C588638861
C2134332267,C594219550
C207249041,C692902299
C817042757,C1547708627
C854220362,C1133140568
C31550869,C935871689
C1173931530,C994556224
C1515462872,C1968311312
C920124176,C1330744807
C913723162,C1032119591
C535879965,C872232178
C1433635585,C1770405220
C1125845251,C2012874610
C925930784,C893578520
C1177800731,C1254957054
C756237550,C1148085469
C1551845868,C1841468320
C1698849428,C1767221525
C901423290,C1173199456
C1011325383,C383664174
C784496365,C1392873385
C1446743201,C1205086551
C1661762504,C1725877212
C303901303,C1044230622
C2080332785,C1118788032
C1907072683,C841803407
C1903782253,C713883859
C181185447,C1316956873
C200104412,C1893175159
C639549644,C1279497096
C471263075,C1982480848
C1944647381,C1661140760
C313160397,C960049108
C1122162932,C1335628631
C1776554548,C1615508401
C1561202563,C1695275631
C485696245,C1709188358
C1208118503,C11716576
C29270625,C822300338
C752998338,C1241919698
C687909921,C2141394487
C1916700850,C20549530
C148363489,C572028662
C607250299,C931318171
C52486578,C1212559337
C962531902,C1768301102
C1480300494,C182111605
C353904903,C720759479
C1710004357,C677528484
C1663998391,C1241951931
C1597536802,C1055534936
C694786942,C1673722479
C1927306563,C975644716
C658524797,C1493336027
C1233881467,C14063466
C1708964809,C427839868
C788884850,C1552689733
C1413268062,C1031791152
C568285041,C867659609
C1690571113,C2077581990
C1451811912,C1058633381
C1843151867,C1079841202
C977814285,C969325522
C193945529,C1247043721
C1318921646,C683142139
C1501459184,C355150327
C756860239,C1523819463
C1729794792,C2011592880
C497942136,C337515873
C141699267,C415826283
C1657122219,C468808402
C1645571579,C675405352
C691038704,C1531821831
C2076280640,C439160277
C327007430,C1521668510
C1151381660,C2027180504
C537087375,C338664864
C1944078148,C1269247176
C67200411,C1453376976
C1812410045,C138332596
C1098837567,C1709880339
C1634943526,C708123938
C886372979,C1288180929
C1440352652,C1480193995
C1675823646,C146136684
C410650166,C215385619
C191782952,C54221934
C251502240,C1054410157
C1974851227,C1820448676
C1026962861,C1059675065
C1159822595,C1573609142
C1401345542,C928824345
C708049019,C1083542572
C1990591492,C1934689735
C260168194,C1723864527
C1792150290,C1543344048
C1603786259,C1784631914
C433549249,C1321848239
C411563827,C1174643051
C1660413354,C813595485
C61968553,C484903683
C565857913,C1567414956
C111352594,C498673546
C1529115865,C405065071
C139608070,C537880566
C1524205826,C668428449
C1189776423,C1602494964
C349757905,C1732741834
C229040481,C1269004620
C455206990,C114653821
C154719417,C545510132
C1513978406,C1837475546
C1621767657,C893102661
C1960690218,C424983523
C990858516,C1223765578
C173206553,C1798917187
C996574663,C2011268389
C556846099,C809942869
C1612071628,C1046465945
C2100910323,C2074707129
C1929290286,C1491168388
C603400764,C997669736
C105978670,C1120962239
C416124705,C1132101902
C554133354,C1988917630
C80457226,C1811459228
C1833841206,C2056754619
C930636269,C1195776642
C2083203270,C1550053777
C1796667569,C265263645
C1743821289,C1069804224
C115291901,C142049512
C168441138,C1561383262
C1990009706,C1384069036
C1570431789,C778494288
C571297469,C296388986
C2046119019,C1994146683
C1726789196,C1822380962
C1818599991,C654542436
C609575328,C103996481
C1660238248,C1822769707
C1995648516,C2127932771
C996945824,C1900482113
C1777386292,C442418522
C8139101,C201501941
C836570649,C121855220
C275112566,C1789685018
C1804334216,C1062677002
C1590509023,C1062650008
C976473255,C856754128
C1208117605,C2038665180
C1253533027,C259092631
C1607269173,C1910513125
C1723651480,C663551172
C124232535,C1785674646
C1859179745,C1867572685
C100683206,C714051433
C1771585821,C1044441557
C574655455,C1874028822
C990202684,C304088057
C1064259559,C137817813
C349462974,C957503858
C854335112,C342530701
C589430594,C1282498992
C1727306934,C335408919
C1360709703,C794511531
C64001202,C1235242393
C791126117,C1701035406
C1836357659,C1565912942
C1781218562,C1987016912
C1842954737,C1946418764
C2146431143,C1204548394
C377153909,C657576197
C1530712221,C1505754400
C1533987869,C1676411207
C656528086,C898844469
C871283656,C563722146
C250293520,C113773515
C591922932,C428691311
C181847849,C1877292423
C1277173056,C179222441
C2020139093,C899908032
C679017626,C1590686973
C53391278,C890860334
C1179493846,C754555473
C510054444,C1838099341
C1628671632,C1448174567
C455491369,C274056512
C66321212,C1605762482
C1874632342,C1132732781
C775201680,C2084271242
C214693642,C1632281379
C30958976,C2013871470
C2006783642,C414692530
C1757293664,C431106605
C362014549,C1838395508
C688601147,C224798635
C994930442,C1760839107
C451566913,C691944342
C1250903081,C1665080854
C2063592166,C1448790189
C16497138,C534314437
C658641974,C506556286
C724184721,C244120322
C1866184525,C2013654114
C1002063806,C1716335240
C36763815,C842824553
C1895006637,C1969581619
C467355619,C1697288413
C456931856,C512344520
C1337313804,C1002956059
C1790496407,C260111376
C1519426085,C1185086386
C2041942844,C1100722756
C541519489,C190155067
C1359755524,C1087655825
C1161267503,C643234734
C2112737862,C1810370886
C519987346,C1611617181
C1991679306,C286918505
C323031605,C1445649140
C1636088797,C1647732123
C1666693712,C476259077
C1401101430,C975541128
C1074545679,C105179504
C466641548,C824526335
C1087630052,C90351989
C1248906570,C1159315292
C1621852003,C130217299
C427751143,C1599926376
C1544661480,C999018948
C1819465447,C318927012
C107129699,C1514541840
C1084572038,C1413654718
C711228901,C2122119285
C1356551072,C1313747723
C1139921771,C741372695
C691143650,C2042243783
C548460660,C1302410958
C712821137,C516865322
C1742421310,C1911116406
C1582239540,C297786427
C2023366641,C450569035
C887513394,C70193125
C174757981,C1984202875
C754585739,C182601145
C70772594,C60423819
C65005879,C783189281
C1571365217,C625032949
C556473367,C676836727
C438072119,C55484372
C1727440658,C436954443
C1916809348,C1632575144
C893309610,C2085055370
C1985308972,C157850632
C1574280789,C1951886367
C2023100291,C699573714
C974567443,C1751818277
C1733802612,C679608291
C377599997,C250098145
C1579370681,C811652950
C1375384910,C49182439
C186917151,C1131429262
C268517849,C1967946967
C1411622368,C1495135796
C1358379759,C990042209
C2062669111,C858671086
C1625574457,C724605163
C698480992,C1266495128
C1088982777,C1606218927
C885302206,C1934377048
C1208984909,C1116928461
C1807127950,C35906960
C1318086746,C49449419
C959135219,C1035435456
C777279795,C441325490
C1444750148,C36134909
C1474681395,C1301159624
C935436697,C9089718
C1003551635,C1256728724
C73984174,C644907539
C2108005970,C1611229006
C1770698251,C1837876390
C1644276798,C461807938
C1973440230,C883539396
C1793041400,C383435873
C200114446,C499614887
C2121867908,C191671859
C235079590,C302721331
C1158907200,C89124039
C1853938952,C1832198279
C2050996940,C1277901441
C1800391397,C1818336904
C2107245360,C1678196717
C1224737805,C2141140246
C1324236347,C16844260
C1707115862,C76510915
C662803088,C1192688767
C137067593,C1622759178
C596998862,C1512569520
C143845262,C250949528
C1715907022,C261094633
C903633019,C1854824728
C1033312004,C1739718777
C572926383,C929133136
C1904082172,C588426758
C649424168,C162477753
C1103287705,C263315716
C562937691,C964843046
C1310636775,C1059101568
C1899861178,C2008027547
C2049692558,C319712954
C1422580285,C1081080108
C1007486294,C772134447
C1070214477,C852207918
C1194349391,C2117720898
C733235497,C359186396
C1991589449,C1878096906
C186416837,C1959198865
C2130770521,C1852912742
C1798828748,C2056132643
C578410480,C368067311
C182934676,C1568271281
C1053675722,C503599136
C1393439924,C851338379
C2075115765,C2025150574
C504859386,C1412133328
C1360860736,C832749526
C1160140871,C816944340
C1445986560,C2040917530
C1355511382,C1150822427
C1831594652,C1176007517
C861216219,C433406313
C1706767024,C623701049
C1850311063,C742494043
C1543825864,C1527761090
C1201966166,C974781443
C2067138720,C343680299
C1506900840,C329259793
C576750387,C461798874
C1095073045,C1475394824
C184360597,C1918561043
C1487220377,C1138404291
C2130331557,C1885454563
C347943098,C1250357873
C1985387790,C119924383
C133604539,C1176984696
C731712655,C1736012243
C1457045926,C797282259
C346327198,C587951862
C650454477,C1681460319
C1702870254,C1203417322
C1269260950,C1102828427
C1294347490,C90486891
C708613645,C1079748842
C514976382,C116096656
C877139123,C587204551
C653557164,C37138390
C1383784567,C734048033
C23492411,C2059919656
C2135740867,C828286149
C212397293,C577899078
C1513246703,C1840564758
C1195742301,C1064567159
C33272896,C688163989
C930064597,C402172312
C851874473,C1800392703
C713079488,C1414032687
C1847944677,C1485115252
C784454739,C1894950604
C1470780162,C1392191755
C1205115339,C244133181
C866648726,C1547927454
C2054339448,C729545528
C1433389689,C203884069
C1904119988,C1977028789
C404293702,C1442833747
C2011158854,C324785673
C1548282310,C1928720935
C1505114571,C1635154498
C155009411,C1540784469
C10599435,C1510200505
C456946432,C913604124
C1932290509,C1960822425
C285085554,C906700375
C489863298,C1066516669
C1701735511,C50996942
C1693270778,C1169345548
C1644166594,C833628959
C1085434340,C1409988911
C2097813690,C274793445
C1701333202,C1422754747
C879486423,C1210988362
C1988098759,C1245689449
C1022386998,C1923748793
C531495908,C1160131570
C24616874,C336606948
C583221818,C1608944218
C487947399,C405234789
C1830278682,C331926498
C1344315101,C2131613042
C1758119025,C482170694
C1586326699,C933013267
C234473062,C991233302
C1519659604,C1818232027
C1991494997,C297512118
C515835547,C433215335
C1241894761,C2093991188
C2016722143,C1309885063
C1165943579,C751544278
C596881137,C1833819943
C1191789421,C1492249463
C445046039,C995826795
C684884839,C872247364
C369640618,C1605327307
C454524717,C1030935932
C928347965,C762503182
C2030280521,C1377194794
C1881324061,C589079851
C377055885,C1439182488
C932138154,C104132647
C361633442,C1981031141
C1055304127,C65275638
C780211482,C1569038540
C1325710295,C950538984
C14563383,C27227765
C115890391,C1792600628
C2092422326,C807430801
C978009734,C799483884
C767158688,C669178036
C951074349,C1271128842
C1720465438,C338769809
C1848967719,C62976127
C261371583,C1131166270
C2085502769,C1162980389
C1155891394,C2017751279
C1993888066,C1912330627
C649797700,C743475555
C2109223326,C626014461
C156183280,C1162645552
