nameOrig,nameDest
C697154059,C1209271652
C52133529,C111210112
C1436941969,C916869225
C1619274360,C1951887558
C614304129,C2058564280
C2083177533,C780003722
C109182047,C1866408768
C1201127709,C313124964
C252611055,C1727331144
C632274719,C1678180772
C751164657,C1768641212
C1428385629,C1195194841
C781833703,C370428315
C1989595244,C1584216606
C1958131739,C2106643654
C983660631,C458582664
C1526182921,C89654666
C446827147,C582410861
C1863409247,C716083600
C1360927611,C748014372
C1086131334,C755196725
C529185179,C1311325237
C1939124600,C67478378
C740121659,C794651201
C512924134,C1908837011
C1780186510,C1498184852
C106615671,C1468547507
C635199806,C1105527690
C1263304408,C2032924554
C232731422,C382934088
C2002174992,C2109236648
C275837120,C1154280433
C954398376,C2047015557
C1280406889,C1518728219
C224812727,C770360274
C436685099,C475231857
C897559413,C1759482496
C1925343886,C2068216232
C1307447687,C1048855692
C1837127424,C1279610437
C627862982,C159092607
C1151067647,C894373883
C2034542274,C1075564985
C378787517,C2036132277
C1356303348,C508000580
C1274554380,C1474120649
C391574791,C803116137
C470850718,C2116153614
C1789059114,C1505755152
C1510952389,C536171536
C983743504,C2068615081
C575546294,C1889395764
C1603286117,C783723634
C2136030007,C148665287
C1346132721,C2127862399
C54296787,C1335946878
C1574027213,C1636786811
C724549571,C18132216
C435585925,C1734719138
C2125177456,C304406966
C777278911,C1247600089
C2027107857,C1151964959
C1435789349,C1875583711
C1980758213,C1455227787
C2063245846,C1487669283
C437626777,C42158278
C905297900,C1374063565
C100450107,C1027286355
C825993588,C1495001462
C1378745256,C267136656
C1311553318,C316106307
C1159990738,C582069873
C1391596162,C1826019256
C1663204999,C1682627306
C554047075,C1275435326
C459769405,C1066975877
C265137470,C193625667
C1749593036,C414386513
C168710054,C1440158358
C1946004345,C1839671644
C1311585133,C1130075212
C2071668876,C1054070300
C945058760,C5958610
C706073258,C1453128758
C1028935422,C309301400
C1142803124,C1272528369
C520251545,C1013700132
C461797713,C815264031
C79361889,C1999142027
C777569576,C1076835071
C580003546,C914293025
C175542056,C1608828840
C1495560440,C642244095
C834506609,C104154404
C36359018,C2084129621
C1016798152,C1651855867
C1178734355,C725104683
C968084346,C1561835738
C987194141,C2071120293
C1806173240,C2084157350
C1091339934,C1483220562
C856355839,C527599317
C845026890,C210705907
C2134255637,C119306016
C1433394812,C1141137903
C2117284835,C1661658830
C1619390859,C616563206
C1090635723,C1863303135
C1021341601,C775514090
C1833691908,C747013817
C579683983,C1564251366
C1836970634,C1549086472
C1390347747,C982891593
C1627314039,C1558550579
C410221793,C150522359
C442460001,C244684090
C145824514,C908043384
C671249195,C1409091101
C444666155,C966580840
C1088507929,C1545666185
C1392187751,C1599377459
C14918296,C671467999
C656258322,C1271098857
C1612840191,C662736689
C863957760,C576244244
C590132930,C2040657244
C377603211,C1269283129
C910332102,C1957884855
C1918931965,C1464009366
C876388821,C66497191
C738299461,C531937621
C241692579,C1192446625
C2028894953,C172409641
C697130536,C168356446
C868707904,C198862197
C1886919182,C486108916
C221017013,C1260889084
C517921103,C1325038895
C1253417058,C2084129621
C575184236,C1608828840
C372406899,C1360243494
C38870043,C1437074823
C1180169447,C333889992
