nameOrig,nameDest
C2090687150,C633504648
C334560382,C737489499
C1020177097,C2000901010
C1707036671,C885635304
C1959880862,C125035269
C1624668534,C1681196388
C2119456668,C413148279
C1783161688,C983586180
C38286322,C1935437430
C890075811,C2072068207
C544847895,C2050061001
C827940595,C1747456748
C441559794,C1745081959
C1146557305,C900310699
C688108260,C256745156
C865512832,C840072861
C531137561,C1870563315
C1633026833,C651213551
C967536045,C1844870771
C220407719,C471853833
C617092762,C1181555529
C2003380742,C443885863
C1253241939,C524473122
C923340330,C1776000109
C214167340,C431429883
C2028364224,C632557882
C727610228,C116305129
C757181790,C437489214
C1539918755,C2069344734
C1760693638,C1963263878
C1272880827,C536328726
C589007388,C1534027199
C344211936,C2088729284
C172495571,C1448681953
C411377852,C1314707587
C1890750753,C1173337262
C1509289468,C1507738698
C1995614551,C550115374
C1248303771,C1659288396
C2024698419,C1426466061
C843802075,C1508121698
C555213364,C88340631
C439935934,C147580090
C2125248493,C68597795
C1253895084,C608530132
C856688582,C1340043749
C1342175260,C1111443229
C1047743976,C867754996
C1582402947,C315017969
C1883164315,C497940854
C1262130092,C1668505392
C746595274,C1671800290
C1226723057,C1340597101
C847654179,C882155381
C401958871,C1951125091
C427048110,C1079284884
C446227862,C43463941
C541439996,C384173520
C473081852,C1051736283
C605776280,C521796698
C2037550296,C1251609176
C1954889309,C1278056763
C2105633398,C1053033862
C36277239,C1787913184
C1867567910,C1401617298
C124643035,C887271388
C279835159,C692352164
C1659025716,C377983231
C1452386128,C458164750
C1981242762,C1340748880
C279825897,C1594751991
C940422379,C1065283893
C3133059,C1147257521
C1439729793,C23477248
C402864124,C115682191
C1319527134,C245538236
C813954655,C1912353882
C1640428622,C897172563
C1627099997,C1575196151
C498511118,C1009688353
C841519593,C211162376
C1882290456,C468281035
C676658945,C1007359685
C1310935143,C262475088
C78769256,C1631875866
C1612149846,C915689686
C1865687970,C372994939
C989867603,C878919393
C811157495,C1838141539
C1798778990,C931451703
C626014105,C1214038497
C530114518,C209771641
C1694793005,C429031845
C937596323,C504390137
C321556537,C1336882617
C1263825885,C317799295
C226460303,C662392210
C781406478,C300713199
C1778362301,C1086610690
C1760345575,C1275593622
C123352693,C1244416234
C1502298808,C1228245115
C1744905649,C212125743
C312588935,C2113107747
C1001363178,C167034701
C433140646,C303564412
C309273651,C1165232322
C154327862,C95400430
C757068654,C195340873
C1452066810,C2126068963
C1073799525,C116136353
C1329527547,C601452263
C1617291960,C1992094522
C961540929,C621991111
C1711679752,C911269101
C1737363765,C760215650
C1300908016,C1462913058
C174076905,C997941554
C941718286,C1849853326
C2079593898,C1026756725
C581160694,C885303045
C693591600,C617407030
C438155551,C1542946897
C1100981939,C1180525400
C2113344520,C546962913
C1849844568,C1508196979
C425786062,C1235327197
C636910959,C781849797
C1617193613,C580792838
C490839418,C952370135
C57254550,C912471316
C358787729,C1093735564
C1443990194,C429345204
C1202353991,C1199656064
C152633398,C310728958
C162469286,C1910032200
C1404131899,C1873899130
C1194663749,C808307455
C116178725,C1606145069
C398990452,C262583248
C1385562214,C509935366
C430693888,C279222943
C1585661566,C1863054287
C997941766,C210377776
C337929176,C858007309
C413396227,C1935472920
C1856377803,C964286010
C908398574,C1130045074
C1789604162,C1440302719
C1177534095,C1347610390
C1317342926,C390628576
C859519174,C978295577
C1649199188,C210293596
C389912409,C589275335
C222397829,C2067371644
C147361808,C274035332
C297736794,C1905816157
C790758186,C528101449
C2061459775,C884655468
C1781129710,C1152404655
C1204498787,C465480399
C493580312,C1301202411
C1840942425,C725387980
C722979654,C843808440
C1317063184,C364598716
C348971055,C2113850786
C1812142734,C1105466222
C1104348732,C1038690178
C161016993,C1028261294
C2011300451,C1782367750
C1999672269,C577010108
C152023519,C1774924923
C787276054,C660321061
C1814270186,C108487285
C1822923573,C57434599
C1477617521,C1769980840
C146600309,C1379801331
C1473052923,C850348430
C1136708054,C1603411821
C1070895811,C453412093
C1941596350,C282945961
C2044380759,C572100594
C916331695,C462306181
C1892367944,C568269428
C1013259075,C153756641
C550410504,C313800483
C2147278558,C2078148207
