nameOrig,nameDest
C1724772451,C6138757
C466187400,C1478188907
C662957761,C901399897
C1532941089,C1494476434
C1385791169,C1419321882
C35929390,C1032922770
C988360269,C1291600324
C394474986,C1796879688
C250953389,C1264070865
C756789008,C1883733036
C1593010104,C901459974
C1347499497,C1445912285
C2004248856,C1981031141
C124070857,C585832945
C1122910778,C1993563669
C466209267,C1886066865
C1597197627,C473894326
C1898323575,C1419706548
C1105821179,C235328980
C347775588,C546220494
C1361411933,C1258243127
C280037032,C926869366
C448636896,C2124961575
C1532333905,C817622325
C569429233,C1869716113
C1318664283,C735503322
C60165256,C924832561
C1526325736,C347310657
C316080677,C376490572
C2138237526,C2003250023
C387236338,C452196084
C1663499778,C1612544726
C1542784817,C1261451386
C204680562,C1009157340
C727015263,C695093611
C1545291436,C535741870
C2033396320,C676400325
C1045016043,C1402987549
C1352432881,C802499512
C145804997,C1938249621
C1756399001,C975904548
C459627409,C118199753
C682477560,C1352509608
C652600014,C1664534432
C1251289030,C1220527227
C2073904342,C1798569326
C1028247130,C697589196
C875804847,C1004962268
C1467679480,C1377936767
C1188124469,C371747826
C890858155,C2082673402
C474372711,C149020845
C321251285,C1816525575
C1593926267,C1471157236
C565380866,C612900238
C260633649,C1988380927
C858763610,C597050817
C1743331326,C1160163461
C1591451414,C201312827
C1490098044,C1643887690
C2003367287,C815905200
C1207276800,C195006344
C1061569298,C586948216
C684950822,C1811856761
C307105793,C1193196950
C1515760974,C863013549
C142491250,C856271327
C1774459272,C1915955327
C1326225275,C1114366145
C562559541,C166287311
C1020515066,C1957759325
C2022552306,C952450487
C579803981,C1031934259
C2047744468,C910249865
C1520334727,C581618261
C737161331,C1016820174
C806111646,C726100402
C697072917,C213517705
C627871124,C1476566223
C912210297,C235447093
C133090533,C1871095233
C2110220481,C1353030186
C1342263543,C399150586
C960650698,C1634888159
C58168478,C511803407
C822988653,C1371323132
C410799766,C2047675602
C823479178,C346227082
C409200892,C1506155119
C1359859450,C1198588867
C1237012091,C565199449
C1802961912,C299094534
C1389538309,C792410450
C1469779951,C2051064020
C2121736488,C1941798570
C1214241164,C943509952
C1337989846,C1896177820
C1524830222,C447892762
C452903552,C538674192
C1078630999,C1309778635
C261307938,C39265469
C1295137982,C2034240494
C557059418,C948671298
C892908297,C710274212
C600631714,C1292363067
C2135422633,C207272908
C2123922118,C1740820071
C239615719,C825510072
C1250776949,C887561687
C171901491,C2141378152
C1955131570,C1741280406
C1944619669,C1021176375
C1289024038,C1870237274
C1367530280,C1779613951
C1893352031,C766276870
C1296005541,C535889684
C20943721,C1818966007
C596917124,C655391383
C259543113,C798366734
C1237954787,C2000052107
C1454480047,C75237849
C785433986,C1819277667
C257552126,C1793677055
C685743980,C1241095962
C1878231028,C940034807
C1546318907,C764387556
C474271582,C1023337385
C1211373381,C885908583
C990639504,C1999612956
C814433766,C513753304
C177164950,C1203740191
C1659499197,C1835216274
C1808176308,C686704295
C545347602,C102157695
C1877650467,C890040200
C1390251747,C1169949925
C261550152,C202424381
C24767685,C1795824617
C137579969,C1807450040
C1973034058,C2008038238
C242230377,C1766973738
C515685251,C1253796687
C462596959,C591794018
C787600318,C1024197644
C261894874,C483742569
C2059788550,C1008762065
C985286220,C151834375
C247355267,C1365661208
C521088512,C836514715
C106551793,C2081957819
C463506096,C1110402003
C1798801319,C998624009
C1234626491,C740490228
C1507146765,C745774047
C1913367459,C594093549
C749806860,C1492005382
C1563763268,C2063804651
