nameOrig,nameDest
C248390534,C289980119
C2130244078,C1629811984
C106809008,C483836908
C1155555399,C66311447
C1003338062,C1386793187
C42158168,C1705978837
C1786996478,C1485102910
C765907377,C1688557869
C2079787650,C1661673055
C1663982636,C1703753344
C317415969,C1915592303
C186724076,C806676740
C1962048609,C1015743493
C2086037529,C2078109802
C2122159748,C1971431590
C208525801,C69200164
C329447973,C646657979
C1104620540,C309684622
C908467141,C1455214115
C755668332,C2081150090
C83963798,C648820155
C92247701,C684471742
C264952456,C1639878162
C400737626,C296636948
C210775353,C59718781
C1973602560,C1432345356
C744833958,C1823668914
C766282597,C2074912332
C542671372,C1052229911
C1137817038,C648610773
C1160750689,C7171773
C202504706,C1510628640
C1748844910,C1815639116
C638379618,C1138817168
C2088058592,C1542686852
C32942529,C941404536
C350481959,C2124517628
C1777232934,C1518882182
C512786826,C1165179844
C154238262,C699056328
C1390714569,C380960084
C1223772143,C1903304226
C2025344856,C501959726
C2068008372,C425793622
C216603054,C590201508
C1324487387,C1914394548
C962305775,C941570949
C552885801,C1297891498
C2078502263,C1523130551
C1396409999,C1994666881
C1164461285,C1212078196
C1376836142,C1917958477
C1058052679,C2019072126
C814771412,C703741371
C928536911,C408477275
C1674392608,C638756746
C1488214204,C1065798151
C1802598834,C90162939
C504813490,C792650255
C342920292,C2007720621
C1853573102,C821832444
C245833594,C530812484
C648344155,C1518352213
C908548423,C446317097
C47656026,C300882263
C884846517,C940344790
C889890131,C2098530042
C971714516,C815234778
C40198479,C1618760281
C1543284401,C490611524
C1002221728,C1854665881
C312453618,C220760073
C78398432,C1857673059
C137003406,C1329688547
C93610679,C106827509
C1789627342,C394647732
C209610296,C171980631
C1342480584,C1956296628
C1982063013,C1918021953
C1080090964,C507454240
C1062211782,C141107348
C1252517124,C1929306967
C601885500,C170222497
C1682777173,C158598703
C1537527354,C510535374
C777953167,C1585900569
C231004307,C72182350
C2501362,C1314285040
C2098127314,C1286928684
C670481179,C910884778
C207482678,C676268346
C1025320437,C2125365489
C932664309,C1971013600
C631965823,C1404456209
C1181509539,C488109651
C529477961,C1171888671
C52460083,C835494471
C527350340,C130375618
